1st_day,click_activity_evolution,click_stuVLE_evolution,date,id_student,last_day,max_nb_ressources,mean_assignments,mean_click_active_day,mean_click_active_day_10,mean_click_day,mean_click_day_10,mean_nb_ressources,min_nb_ressources,nb_active_days,nb_total_click,nb_total_click_last10D,perc_active_days,perc_assignements_late,perc_not_returned_ass,perc_ressources_last10D,perc_ressources_total,ressources_activity_evolution,ressources_stuVLE_evolution,std_assignments,std_nb_ressources,validation,final_result,_id,code_presentation_2013B,code_presentation_2013J,code_presentation_2014B,code_presentation_2014J,code_module_AAA,code_module_BBB,code_module_CCC,code_module_DDD,code_module_EEE,code_module_FFF,code_module_GGG,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,date_registration,gender_M,region_East Anglian Region,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region
-10.0,1.7125,0.0,39.92537313432835,31604,107.0,13,71.33333333333333,19.048387096774192,15.3,11.037383177570092,13.7,4.758064516129032,1,117,1181,137,1.0934579439252337,0.0,0.0,7.211538461538463,26.44230769230769,2.5,0.0,0.7071067811865476,2.8896961316848437,1,Pass,3,0,1,0,0,1,0,0,0,0,0,0,2,55,45,0,60,0,-52.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-10.0,1.0689655172413792,0.0,39.92537313432835,32885,107.0,16,43.0,19.025641025641026,13.4,6.934579439252336,3.1,4.538461538461538,1,117,742,31,1.0934579439252337,1.0,0.0,1.4423076923076923,23.07692307692308,0.3333333333333333,0.0,27.577164466275352,3.4324009844740786,0,Pass,4,0,1,0,0,1,0,0,0,0,0,0,1,55,20,0,60,0,-176.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-10.0,0.6363636363636364,0.0,39.92537313432835,45462,102.0,9,66.66666666666667,20.081081081081077,3.3,6.94392523364486,0.7,3.972972972972973,1,117,743,7,1.0934579439252337,0.5,0.0,1.9230769230769231,15.865384615384615,1.3333333333333333,0.0,3.5355339059327378,2.813523754283215,1,Pass,6,0,1,0,0,1,0,0,0,0,0,0,3,35,20,0,60,0,-67.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-9.0,0.15625,0.0,39.92537313432835,45642,105.0,12,72.00000000000001,15.76086956521739,10.3,6.775700934579438,1.0,4.717391304347826,1,116,725,10,1.0841121495327102,0.5,0.0,2.8846153846153846,17.307692307692307,1.2,0.0,0.0,2.655501990444752,1,Pass,7,0,1,0,0,1,0,0,0,0,0,0,2,95,20,0,120,0,-29.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-4.0,1.3076923076923077,0.0,39.92537313432835,52130,107.0,14,69.33333333333334,15.290909090909093,15.3,7.859813084112147,6.8,4.181818181818182,1,111,841,68,1.0373831775700937,0.0,0.0,4.326923076923077,21.15384615384616,1.8,0.0,2.8284271247461903,2.546536566564181,1,Pass,8,0,1,0,0,1,0,0,0,0,0,0,2,75,20,0,90,0,-33.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-10.0,0.30985915492957744,0.0,39.92537313432835,71361,105.0,13,84.66666666666667,24.268656716417908,11.5,15.196261682242987,2.2,5.268656716417911,1,117,1626,22,1.0934579439252337,0.0,0.0,2.403846153846154,23.55769230769231,0.7142857142857143,0.0,2.8284271247461903,3.0330607081228607,1,Pass,17,0,1,0,0,1,0,0,0,0,0,0,3,47,45,0,60,0,-130.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-10.0,0.42857142857142855,0.0,39.92537313432835,98094,101.0,27,60.0,37.51063829787234,25.6,16.476635514018692,3.9,4.787234042553191,1,117,1763,39,1.0934579439252337,0.0,0.0,1.4423076923076923,29.32692307692308,0.6,0.0,2.1213203435596424,4.053641252078808,1,Pass,23,0,1,0,0,1,0,0,0,0,0,0,1,75,45,0,60,0,-107.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12.0,2.25,0.0,39.92537313432835,106247,100.0,17,66.33333333333333,17.73913043478261,7.2,3.8130841121495327,0.9,5.0,1,107,408,9,1.0,1.0,0.0,2.403846153846154,19.230769230769234,5.0,0.0,0.7071067811865476,3.9427724440366254,1,Withdrawn,29,0,1,0,0,1,0,0,0,0,0,0,3,85,45,0,60,0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-10.0,0.6666666666666666,0.0,39.92537313432835,106577,100.0,15,53.0,20.05,11.3,3.7476635514018684,0.4,5.15,1,117,401,4,1.0934579439252337,0.0,0.0,1.4423076923076923,15.865384615384615,3.0,0.0,4.242640687119285,3.5135077688978096,1,Pass,30,0,1,0,0,1,0,0,0,0,0,0,1,25,20,0,60,0,-107.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-9.0,0.44,0.0,39.92537313432835,113295,105.0,12,78.33333333333334,22.40659340659341,11.4,19.05607476635514,6.6,4.9010989010989015,1,116,2039,66,1.0841121495327102,0.5,0.0,6.25,26.44230769230769,1.4444444444444444,0.0,2.8284271247461903,2.840402729876111,1,Pass,33,0,1,0,0,1,0,0,0,0,0,0,1,65,45,0,60,0,-26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
