1st_day,click_activity_evolution,click_stuVLE_evolution,date,id_student,last_day,max_nb_ressources,mean_assignments,mean_click_active_day,mean_click_active_day_10,mean_click_day,mean_click_day_10,mean_nb_ressources,min_nb_ressources,nb_active_days,nb_total_click,nb_total_click_last10D,perc_active_days,perc_assignements_late,perc_not_returned_ass,perc_ressources_last10D,perc_ressources_total,ressources_activity_evolution,ressources_stuVLE_evolution,std_assignments,std_nb_ressources,validation,final_result,_id,code_presentation_2013B,code_presentation_2013J,code_presentation_2014B,code_presentation_2014J,code_module_AAA,code_module_BBB,code_module_CCC,code_module_DDD,code_module_EEE,code_module_FFF,code_module_GGG,highest_education_x,imd_band_x,age_band_x,num_of_prev_attempts_x,studied_credits_x,disability_x,date_registration_x,gender_M_x,region_East Anglian Region_x,region_East Midlands Region_x,region_Ireland_x,region_London Region_x,region_North Region_x,region_North Western Region_x,region_Scotland_x,region_South East Region_x,region_South Region_x,region_South West Region_x,region_Wales_x,region_West Midlands Region_x,region_Yorkshire Region_x,highest_education_y,imd_band_y,age_band_y,num_of_prev_attempts_y,studied_credits_y,disability_y,date_registration_y,gender_M_y,region_East Anglian Region_y,region_East Midlands Region_y,region_Ireland_y,region_London Region_y,region_North Region_y,region_North Western Region_y,region_Scotland_y,region_South East Region_y,region_South Region_y,region_South West Region_y,region_Wales_y,region_West Midlands Region_y,region_Yorkshire Region_y
-10.0,2.1666666666666665,0.0,59.70149253731344,31604,160.0,13,72.4,17.613636363636363,12.8,9.6875,9.1,4.5227272727272725,1,170,1550,91,1.0625,0.0,0.0,6.730769230769233,34.134615384615394,14.0,0.0,1.5275252316519468,2.7708551845054123,1,Pass,3,0,1,0,0,1,0,0,0,0,0,0,2,55,45,0,60,0,-52.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,55,45,0,60,0,-52.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-10.0,0.25,0.0,59.70149253731344,32885,153.0,16,51.0,16.196078431372552,7.6,5.1625,0.1,4.235294117647058,1,170,826,1,1.0625,1.0,0.0,0.4807692307692308,26.44230769230769,0.3333333333333333,0.0,21.0,3.2161357887633883,1,Pass,4,0,1,0,0,1,0,0,0,0,0,0,1,55,20,0,60,0,-176.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,55,20,0,60,0,-176.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-10.0,0.5111111111111111,0.0,59.70149253731344,45462,155.0,9,64.8,16.557377049180328,11.9,6.3125,2.3,3.6065573770491803,1,170,1010,23,1.0625,0.3333333333333333,0.0,2.8846153846153846,22.115384615384613,1.5,0.0,4.041451884327381,2.4649454931403665,1,Pass,6,0,1,0,0,1,0,0,0,0,0,0,3,35,20,0,60,0,-67.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,35,20,0,60,0,-67.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-9.0,0.9696969696969696,0.0,59.70149253731344,45642,155.0,12,72.0,13.528571428571427,7.9,5.91875,3.2,4.257142857142857,1,169,947,32,1.05625,0.3333333333333333,0.0,4.326923076923077,22.115384615384613,2.25,0.0,0.0,2.506141524657956,1,Pass,7,0,1,0,0,1,0,0,0,0,0,0,2,95,20,0,120,0,-29.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,95,20,0,120,0,-29.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-4.0,0.38,0.0,59.70149253731344,52130,158.0,14,71.6,15.32,9.5,7.18125,1.9,4.133333333333334,1,164,1149,19,1.025,0.0,0.0,2.403846153846154,25.0,0.7142857142857143,0.0,3.511884584284246,2.418025402440357,1,Pass,8,0,1,0,0,1,0,0,0,0,0,0,2,75,20,0,90,0,-33.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,75,20,0,90,0,-33.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-10.0,0.7105263157894737,0.0,59.70149253731344,71361,157.0,13,83.6,19.45744680851064,6.4,11.43125,2.7,4.808510638297872,1,170,1829,27,1.0625,0.0,0.0,3.8461538461538463,29.80769230769231,2.0,0.0,2.309401076758504,2.7989114464076663,1,Pass,17,0,1,0,0,1,0,0,0,0,0,0,3,47,45,0,60,0,-130.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,47,45,0,60,0,-130.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-10.0,0.41025641025641024,0.0,59.70149253731344,98094,157.0,27,59.6,35.69696969696969,34.6,14.725,4.8,4.5151515151515165,1,170,2356,48,1.0625,0.0,0.0,2.403846153846154,39.42307692307692,0.4545454545454545,0.0,1.7320508075688772,3.7753957479465714,1,Pass,23,0,1,0,0,1,0,0,0,0,0,0,1,75,45,0,60,0,-107.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,75,45,0,60,0,-107.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12.0,5.0,0.0,59.70149253731344,106247,150.0,17,58.6,14.090909090909092,5.7,2.90625,0.5,4.181818181818182,1,160,465,5,1.0,0.6666666666666666,0.0,0.4807692307692308,20.673076923076927,1.0,0.0,11.269427669584644,3.5659373369296734,1,Withdrawn,29,0,1,0,0,1,0,0,0,0,0,0,3,85,45,0,60,0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,85,45,0,60,0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-10.0,0.0,0.0,59.70149253731344,106577,127.0,15,54.2,19.285714285714285,0.0,2.53125,0.0,5.0476190476190474,1,170,405,0,1.0625,0.0,0.0,0.0,16.826923076923073,0.0,0.0,3.2145502536643185,3.456532807253397,1,Pass,30,0,1,0,0,1,0,0,0,0,0,0,1,25,20,0,60,0,-107.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25,20,0,60,0,-107.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-9.0,1.0909090909090908,0.0,59.70149253731344,113295,160.0,12,77.8,18.984848484848484,13.9,15.6625,10.8,4.454545454545454,1,169,2506,108,1.05625,0.3333333333333333,0.0,8.173076923076923,36.53846153846153,2.125,0.0,2.309401076758504,2.72215573633838,1,Pass,33,0,1,0,0,1,0,0,0,0,0,0,1,65,45,0,60,0,-26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,65,45,0,60,0,-26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
